ENSG,Name,abs expressing tissues,Class,Type,core/var
ENSG00000224051,CPTP,6,Pre-initiation autophagy signaling,Miscellaneous mTORC1 regulation,variable
ENSG00000197785,ATAD3A,0,Autophagy substrate selection,Mitophagy,core
ENSG00000078900,TP73,17,Autophagy gene expression,Transcription factor,variable
ENSG00000049245,VAMP3,4,Autophagophore initiation and elongation,ATG16L1-positive plasma membrane input,variable
ENSG00000116288,PARK7,1,Autophagy substrate selection,Mitophagy,variable
ENSG00000171608,PIK3CD,3,Pre-initiation autophagy signaling,Insulin signaling pathway,variable
ENSG00000054523,KIF1B,7,Autophagosome closure maturation and lysosome fusion,HOPS-BORC interaction mediator,variable
ENSG00000198793,MTOR,1,Pre-initiation autophagy signaling,Insulin signaling pathway,variable
ENSG00000116688,MFN2,4,Autophagy substrate selection,Mitophagy,variable
ENSG00000048707,VPS13D,1,Autophagy substrate selection,nan,variable
ENSG00000116786,PLEKHM2,3,Autophagosome closure maturation and lysosome fusion,HOPS-BORC interaction mediator,variable
ENSG00000159363,ATP13A2,9,Pre-initiation autophagy signaling,mTORC1 signal integration,variable
ENSG00000077549,CAPZB,2,Autophagophore initiation and elongation,nan,variable
ENSG00000127472,PLA2G5,18,Lysosomal catabolism,Lysosomal phospholipase,variable
ENSG00000090432,MUL1,1,Autophagy substrate selection,Mitophagy,variable
ENSG00000158828,PINK1,5,Autophagy substrate selection,Mitophagy,variable
ENSG00000179163,FUCA1,3,Lysosomal catabolism,Lysosomal fusocidase,variable
ENSG00000117758,STX12,2,Autophagosome closure maturation and lysosome fusion,ESCRT-III complex activity modulator,variable
ENSG00000130770,ATPIF1,2,Autophagy substrate selection,Mitophagy,variable
ENSG00000130766,SESN2,6,Pre-initiation autophagy signaling,Nutrient sensing,variable
ENSG00000054116,TRAPPC3,0,Autophagophore initiation and elongation,TRAPP complex component,core
ENSG00000116954,RRAGC,0,Pre-initiation autophagy signaling,Nutrient sensing,core
ENSG00000131238,PPT1,4,Lysosomal catabolism,Lysosomal de-palmitoylation,variable
ENSG00000198198,SZT2,0,Pre-initiation autophagy signaling,Nutrient sensing,variable
ENSG00000066135,KDM4A,1,Autophagy gene expression,Suppressor of autophagy gene transcription,variable
ENSG00000117410,ATP6V0B,2,Pre-initiation autophagy signaling,Nutrient sensing,variable
ENSG00000116209,TMEM59,2,Autophagophore initiation and elongation,Preparation of ATG8 homologs for lipidation,variable
ENSG00000162409,PRKAA2,10,Pre-initiation autophagy signaling,"AMPK signaling pathway, direct",variable
ENSG00000177606,JUN,8,Autophagy gene expression,Component of AP-1 transcription factor,variable
ENSG00000125703,ATG4C,3,Autophagophore initiation and elongation,Preparation of ATG8 homologs for lipidation,variable
ENSG00000116678,LEPR,10,Pre-initiation autophagy signaling,Nutrient sensing,variable
ENSG00000077254,USP33,1,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 assembly,variable
ENSG00000142875,PRKACB,17,Pre-initiation autophagy signaling,"AMPK signaling pathway, direct",variable
ENSG00000137976,DNASE2B,20,Lysosomal catabolism,nan,variable
ENSG00000117151,CTBS,6,Lysosomal catabolism,Lysosomal chitobiase,variable
ENSG00000055732,MCOLN3,23,Autophagosome closure maturation and lysosome fusion,nan,variable
