ENSG,Name,abs expressing tissues,Class,Type,core/var
ENSG00000116251,RPL22,2,Ribosome,nan,variable
ENSG00000171824,EXOSC10,0,Ribosome biogenesis factor,nan,core
ENSG00000053372,MRTO4,0,Ribosome biogenesis factor,non 5S RNP complex,variable
ENSG00000169914,OTUD3,2,Ribosome-associated QC,nan,variable
ENSG00000075151,EIF4G3,1,Translation initiation,nan,variable
ENSG00000142676,RPL11,3,Ribosome,nan,variable
ENSG00000084623,EIF3I,2,Translation initiation,nan,variable
ENSG00000134684,YARS,0,Translation elongation,nan,variable
ENSG00000134697,GNL2,0,Ribosome biogenesis factor,non 5S RNP complex,variable
ENSG00000090621,PABPC4,1,Translation initiation,nan,variable
ENSG00000142937,RPS8,4,Ribosome,nan,variable
ENSG00000070785,EIF2B3,1,Translation initiation,nan,variable
ENSG00000122406,RPL5,3,Ribosome,nan,variable
ENSG00000031698,SARS,1,Translation elongation,nan,variable
ENSG00000065183,WDR3,1,Ribosome biogenesis factor,UTP-B complex,variable
ENSG00000143621,ILF2,0,Ribosome biogenesis factor,NF45-NF90 complex,core
ENSG00000177954,RPS27,4,Ribosome,nan,variable
ENSG00000143319,ISG20L2,2,Ribosome biogenesis factor,nan,variable
ENSG00000143222,UFC1,0,Ribosome-associated QC,nan,core
ENSG00000143258,USP21,0,Ribosome-associated QC,nan,core
ENSG00000081721,DUSP12,0,Ribosome biogenesis factor,non 5S RNP complex,variable
ENSG00000143486,EIF2D,1,Translation termination,nan,variable
ENSG00000136628,EPRS,2,Translation elongation,nan,variable
ENSG00000119285,HEATR1,1,Ribosome biogenesis factor,UTP-A complex,variable
ENSG00000171863,RPS7,1,Ribosome,nan,variable
ENSG00000115761,NOL10,0,Ribosome biogenesis factor,ANN complex,variable
ENSG00000115211,EIF2B4,0,Translation initiation,nan,core
ENSG00000163811,WDR43,0,Ribosome biogenesis factor,UTP-A complex,variable
ENSG00000143947,RPS27A,2,Ribosome,nan,variable
ENSG00000115946,PNO1,0,Ribosome biogenesis factor,nan,variable
ENSG00000124383,MPHOSPH10,1,Ribosome biogenesis factor,IMP3-IMP4 complex,variable
ENSG00000158417,EIF5B,2,Ribosome biogenesis factor,nan,variable
ENSG00000071082,RPL31,4,Ribosome,nan,variable
ENSG00000136718,IMP4,0,Ribosome biogenesis factor,IMP3-IMP4 complex,core
ENSG00000115866,DARS,1,Translation elongation,nan,variable
ENSG00000091436,MAP3K20,14,Ribosome-associated QC,nan,variable
ENSG00000115368,WDR75,1,Ribosome biogenesis factor,UTP-A complex,variable
ENSG00000082153,BZW1,0,Translation initiation,nan,core
ENSG00000055044,NOP58,0,Ribosome biogenesis factor,U3 snoRNP complex,core
ENSG00000138442,WDR12,3,Ribosome biogenesis factor,PeBoW complex,variable
ENSG00000114942,EEF1B2,2,Translation elongation,nan,variable
ENSG00000197756,RPL37A,1,Ribosome,nan,variable
ENSG00000163516,ANKZF1,3,Ribosome-associated QC,nan,variable
ENSG00000116120,FARSB,0,Translation elongation,nan,core
ENSG00000135930,EIF4E2,1,Translation initiation,nan,variable
ENSG00000204120,GIGYF2,2,Ribosome-associated QC,nan,variable
ENSG00000075975,MKRN2,2,Ribosome-associated QC,nan,variable
ENSG00000144713,RPL32,4,Ribosome,nan,variable
ENSG00000174748,RPL15,1,Ribosome,nan,variable
ENSG00000168028,RPSA,5,Ribosome,nan,variable
ENSG00000188846,RPL14,2,Ribosome,nan,variable
ENSG00000172053,QARS,2,Translation elongation,nan,variable
ENSG00000114767,RRP9,1,Ribosome biogenesis factor,U3 snoRNP complex,variable
ENSG00000162244,RPL29,5,Ribosome,nan,variable
ENSG00000163412,EIF4E3,5,Translation initiation,nan,variable
ENSG00000114391,RPL24,2,Ribosome,nan,variable
ENSG00000132394,EEFSEC,0,Translation elongation,nan,core
ENSG00000081307,UBA5,1,Ribosome-associated QC,nan,variable
ENSG00000144895,EIF2A,1,Translation initiation,nan,variable
ENSG00000169251,NMD3,2,Ribosome biogenesis factor,nan,variable
ENSG00000163577,EIF5A2,6,Translation elongation,nan,variable
ENSG00000145191,EIF2B5,1,Translation initiation,nan,variable
ENSG00000114867,EIF4G1,1,Translation initiation,nan,variable
ENSG00000156976,EIF4A2,2,Translation initiation,nan,variable
ENSG00000163923,RPL39L,8,Ribosome,nan,variable
ENSG00000041802,LSG1,0,Ribosome biogenesis factor,non 5S RNP complex,core
ENSG00000182899,RPL35A,2,Ribosome,nan,variable
ENSG00000087269,NOP14,1,Ribosome biogenesis factor,EMG1 complex,variable
ENSG00000109606,DHX15,0,Ribosome biogenesis factor,XND complex,core
ENSG00000109618,SEPSECS,1,Translation elongation,nan,variable
ENSG00000168228,ZCCHC4,1,Ribosome biogenesis factor,nan,variable
ENSG00000163682,RPL9,2,Ribosome,nan,variable
ENSG00000151247,EIF4E,0,Translation initiation,nan,variable
ENSG00000164022,AIMP1,2,Translation elongation,nan,variable
ENSG00000109475,RPL34,3,Ribosome,nan,variable
ENSG00000109534,GAR1,1,Ribosome biogenesis factor,nan,variable
ENSG00000164163,ABCE1,1,Translation termination,nan,variable
ENSG00000145425,RPS3A,2,Ribosome,nan,variable
ENSG00000198498,TMA16,2,Ribosome biogenesis factor,non 5S RNP complex,variable
ENSG00000109775,UFSP2,2,Ribosome-associated QC,nan,variable
ENSG00000179059,ZFP42,5,Ribosome biogenesis factor,nan,variable
ENSG00000113407,TARS,1,Translation elongation,nan,variable
ENSG00000168724,DNAJC21,3,Ribosome biogenesis factor,non 5S RNP complex,variable
ENSG00000145592,RPL37,2,Ribosome,nan,variable
ENSG00000152684,PELO,3,Ribosome-associated QC,nan,variable
ENSG00000067248,DHX29,1,Translation initiation,nan,variable
ENSG00000086189,DIMT1,0,Ribosome biogenesis factor,nan,variable
ENSG00000164338,UTP15,1,Ribosome biogenesis factor,UTP-A complex,variable
ENSG00000186468,RPS23,2,Ribosome,nan,variable
ENSG00000058729,RIOK2,0,Ribosome biogenesis factor,nan,variable
ENSG00000134987,WDR36,1,Ribosome biogenesis factor,UTP-B complex,variable
ENSG00000120705,ETF1,2,Translation termination,nan,variable
ENSG00000243056,EIF4EBP3,4,Translation initiation,nan,variable
ENSG00000170445,HARS,0,Translation elongation,nan,core
ENSG00000133706,LARS,1,Translation elongation,nan,variable
ENSG00000164587,RPS14,4,Ribosome,nan,variable
ENSG00000113643,RARS,1,Translation elongation,nan,variable
ENSG00000037241,RPL26L1,2,Ribosome,nan,variable
ENSG00000145912,NHP2,0,Ribosome biogenesis factor,nan,core
ENSG00000204628,RACK1,5,Ribosome biogenesis factor,nan,variable
ENSG00000124784,RIOK1,0,Ribosome biogenesis factor,nan,variable
ENSG00000124802,EEF1E1,2,Translation elongation,nan,variable
ENSG00000204435,CSNK2B,0,Ribosome biogenesis factor,UTP-C complex,core
ENSG00000204394,VARS,1,Translation elongation,nan,variable
ENSG00000231500,RPS18,4,Ribosome,nan,variable
ENSG00000124614,RPS10,2,Ribosome,nan,variable
ENSG00000198755,RPL10A,3,Ribosome,nan,variable
ENSG00000112578,BYSL,2,Ribosome biogenesis factor,nan,variable
ENSG00000146223,RPL7L1,1,Ribosome,nan,variable
ENSG00000124541,RRP36,0,Ribosome biogenesis factor,UTP-C complex,core
ENSG00000172432,GTPBP2,2,Ribosome-associated QC,nan,variable
ENSG00000156508,EEF1A1,7,Translation elongation,nan,variable
ENSG00000014123,UFL1,2,Ribosome-associated QC,nan,variable
ENSG00000112249,ASCC3,0,Ribosome-associated QC,nan,variable
ENSG00000197498,RPF2,2,Ribosome biogenesis factor,5S RNP complex,variable
ENSG00000112306,RPS12,4,Ribosome,nan,variable
ENSG00000112339,HBS1L,2,Ribosome-associated QC,nan,variable
ENSG00000135521,LTV1,1,Ribosome biogenesis factor,nan,variable
ENSG00000106263,EIF3B,0,Translation initiation,nan,core
ENSG00000106305,AIMP2,3,Translation elongation,nan,variable
ENSG00000136261,BZW2,9,Translation initiation,nan,variable
ENSG00000106105,GARS,0,Translation elongation,nan,core
ENSG00000126524,SBDS,4,Ribosome biogenesis factor,non 5S RNP complex,variable
ENSG00000130305,NSUN5,2,Ribosome biogenesis factor,nan,variable
ENSG00000071462,WBSCR22,2,Ribosome biogenesis factor,nan,variable
ENSG00000106682,EIF4H,0,Translation initiation,nan,core
ENSG00000146830,GIGYF1,0,Ribosome-associated QC,nan,core
ENSG00000080802,CNOT4,1,Ribosome-associated QC,nan,variable
ENSG00000133606,MKRN1,2,Ribosome-associated QC,nan,variable
