ENSG,Name,abs expressing tissues,Class,Type,core/var
ENSG00000187961,KLHL17,3,E3 ligase ,BTB,variable
ENSG00000187608,ISG15,4,ubiquitin and UBL proteins,ISG15,variable
ENSG00000237330,RNF223,15,E3 ligase ,other,variable
ENSG00000160087,UBE2J2,1,E2 conjugating enzymes,UBC domain & transmembrane domain,variable
ENSG00000197530,MIB2,1,E3 ligase ,Mindbomb,variable
ENSG00000162585,FAAP20,0,ubiquitin and UBL binding,DNA repair accessory,variable
ENSG00000157911,PEX10,1,E3 ligase ,PEX,variable
ENSG00000158286,RNF207,11,E3 ligase ,TRIM,variable
ENSG00000162413,KLHL21,2,E3 ligase ,BTB,variable
ENSG00000171621,SPSB1,7,E3 ligase ,SOCS box,variable
ENSG00000130939,UBE4B,2,p97 and associates,RING,variable
ENSG00000116661,FBXO2,20,E3 ligase ,F-box,variable
ENSG00000132879,FBXO44,6,E3 ligase ,F-box,variable
ENSG00000116663,FBXO6,3,E3 ligase ,F-box,variable
ENSG00000197312,DDI2,4,proteasome & associates,aspartic peptidase,variable
ENSG00000037637,FBXO42,1,E3 ligase ,F-box,variable
ENSG00000127481,UBR4,0,E3 ligase ,UBR,core
ENSG00000169914,OTUD3,2,Ub and UBL demodifiers,assorted,variable
ENSG00000162543,UBXN10,15,p97 and associates,UBX,variable
ENSG00000090432,MUL1,1,E3 ligase ,other,variable
ENSG00000090686,USP48,2,ubiquitin and UBL proteins,DUB,variable
ENSG00000011007,ELOA,1,E3 ligase ,F-box,variable
ENSG00000158022,TRIM63,15,E3 ligase ,TRIM,variable
ENSG00000158062,UBXN11,7,p97 and associates,"UBX, SHP, SEP",variable
ENSG00000142784,WDTC1,2,E3 ligase ,DCAF,variable
ENSG00000060688,SNRNP40,0,E3 ligase ,DCAF,variable
ENSG00000162521,RBBP4,0,E3 ligase ,DCAF,core
ENSG00000116514,RNF19B,3,E3 ligase ,assorted,variable
ENSG00000116525,TRIM62,5,E3 ligase ,TRIM,variable
ENSG00000126067,PSMB2,0,proteasome & associates,constitutive,core
ENSG00000163874,ZC3H12A,15,ubiquitin and UBL binding,UBA,variable
ENSG00000174574,AKIRIN1,2,proteasome & associates,Akirin,variable
ENSG00000117399,CDC20,11,E3 ligase ,activator,variable
ENSG00000187147,RNF220,2,E3 ligase ,other,variable
ENSG00000222009,BTBD19,10,E3 ligase ,BTB,variable
ENSG00000126107,HECTD3,0,E3 ligase ,assorted,core
ENSG00000197429,IPP,1,E3 ligase ,BTB,variable
ENSG00000132128,LRRC41,0,E3 ligase ,SOCS box,core
